rank,market_hash_name,base_name,wear,category,recommendation_label,opportunity_score,instant_exit_margin_pct,profit_margin_pct,risk_score,cs_liquidity_score,demand_score,uu_supply_score,cs_highest_bid_usd,uu_lowest_ask_usd,cs_vol24h,uu_listings,recommendation_reason
1,★ Specialist Gloves | Fade (Field-Tested),Specialist Gloves | Fade,ft,normal,strong_candidate,0.786171,0.182926,-0.390919,0.184254,0.662654,0.786584,0.500414,235.000000,198.660000,33,10,high instant-exit margin (18.29%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
2,★ Sport Gloves | Vice (Field-Tested),Sport Gloves | Vice,ft,normal,strong_candidate,0.776892,0.366258,-0.816292,0.193281,0.693603,0.752441,0.416589,695.000000,508.688600,40,10,high instant-exit margin (36.63%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
3,★ Sport Gloves | Omega (Field-Tested),Sport Gloves | Omega,ft,normal,strong_candidate,0.760465,0.608148,-0.446529,0.201019,0.662654,0.716730,0.416589,360.000000,223.860000,33,10,high instant-exit margin (60.81%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
4,★ Sport Gloves | Amphibious (Field-Tested),Sport Gloves | Amphibious,ft,normal,strong_candidate,0.743428,0.588921,-0.709854,0.209043,0.630557,0.679694,0.416589,545.000000,343.000000,27,10,high instant-exit margin (58.89%); strong demand signal; controlled risk; recommended for priority review
5,★ Hydra Gloves | Case Hardened (Field-Tested),Hydra Gloves | Case Hardened,ft,normal,watchlist,0.698149,0.185321,-0.384702,0.228652,0.527373,0.586417,0.447526,84.300000,71.120000,14,10,high instant-exit margin (18.53%); controlled risk; worth monitoring
6,AK-47 | The Empress (Field-Tested),AK-47 | The Empress,ft,normal,watchlist,0.598998,0.035928,0.053377,0.152651,0.658434,0.864004,0.663702,94.400000,91.126000,24,10,positive instant-exit margin (3.59%); strong CSFloat liquidity; strong demand signal; healthy UU supply; controlled risk; worth monitoring
7,★ Specialist Gloves | Mogul (Field-Tested),Specialist Gloves | Mogul,ft,normal,watchlist,0.590387,0.051770,-0.419690,0.196962,0.611821,0.727931,0.500414,126.000000,119.798000,24,10,positive instant-exit margin (5.18%); strong demand signal; controlled risk; worth monitoring
8,★ Hand Wraps | Duct Tape (Field-Tested),Hand Wraps | Duct Tape,ft,normal,watchlist,0.585764,0.045392,0.111417,0.193281,0.693603,0.752441,0.416589,53.200000,50.890000,40,10,positive instant-exit margin (4.54%); strong CSFloat liquidity; strong demand signal; controlled risk; worth monitoring
9,★ Hydra Gloves | Emerald (Field-Tested),Hydra Gloves | Emerald,ft,normal,watchlist,0.566683,0.049307,0.064442,0.200719,0.621544,0.659585,0.469476,41.600000,39.645200,19,10,positive instant-exit margin (4.93%); strong demand signal; controlled risk; worth monitoring
10,★ Driver Gloves | Racing Green (Field-Tested),Driver Gloves | Racing Green,ft,normal,watchlist,0.566370,0.047619,0.139971,0.203149,0.611821,0.702150,0.469476,36.300000,34.650000,24,10,positive instant-exit margin (4.76%); strong demand signal; controlled risk; worth monitoring
11,★ Driver Gloves | Overtake (Field-Tested),Driver Gloves | Overtake,ft,normal,watchlist,0.532857,0.022931,0.086755,0.176516,0.693603,0.822295,0.500414,58.500000,57.188600,40,10,positive instant-exit margin (2.29%); strong CSFloat liquidity; strong demand signal; controlled risk; worth monitoring
12,★ Hand Wraps | Cobalt Skulls (Field-Tested),Hand Wraps | Cobalt Skulls,ft,normal,watchlist,0.531392,0.036866,0.063318,0.204836,0.647383,0.699110,0.416589,225.000000,217.000000,30,10,positive instant-exit margin (3.69%); strong demand signal; controlled risk; worth monitoring
13,★ Specialist Gloves | Buckshot (Field-Tested),Specialist Gloves | Buckshot,ft,normal,watchlist,0.530853,0.035674,0.092200,0.201405,0.636358,0.712169,0.447526,53.500000,51.657200,28,10,positive instant-exit margin (3.57%); strong demand signal; controlled risk; worth monitoring
14,★ Driver Gloves | Queen Jaguar (Field-Tested),Driver Gloves | Queen Jaguar,ft,normal,watchlist,0.527361,0.039420,0.077999,0.209227,0.605073,0.676071,0.447526,61.700000,59.360000,23,10,positive instant-exit margin (3.94%); strong demand signal; controlled risk; worth monitoring
15,★ Moto Gloves | Transport (Field-Tested),Moto Gloves | Transport,ft,normal,watchlist,0.522361,0.036244,0.092394,0.196615,0.680269,0.615512,0.416589,43.000000,41.496000,19,10,positive instant-exit margin (3.62%); strong CSFloat liquidity; controlled risk; worth monitoring
